genome,tool,entity_type,class_norm,shared_count,unshared_count,total
Agaricus_bisporus_H97,antismash,BGC,Hybrid,1,0,1
Agaricus_bisporus_H97,antismash,BGC,NRPS,4,0,4
Agaricus_bisporus_H97,antismash,BGC,PKS,1,0,1
Agaricus_bisporus_H97,antismash,BGC,other,3,0,3
Agaricus_bisporus_H97,antismash,BGC,terpene,12,3,15
Agaricus_bisporus_H97,funbgcex,BGC,Hybrid,1,0,1
Agaricus_bisporus_H97,funbgcex,BGC,NRPS,4,1,5
Agaricus_bisporus_H97,funbgcex,BGC,PKS,1,0,1
Agaricus_bisporus_H97,funbgcex,BGC,other,3,4,7
Agaricus_bisporus_H97,funbgcex,BGC,terpene,12,1,13
Agaricus_bisporus_H97,antismash,GCF,NRPS,0,4,4
Agaricus_bisporus_H97,antismash,GCF,NRPS;PKS,0,1,1
Agaricus_bisporus_H97,antismash,GCF,PKS,0,1,1
Agaricus_bisporus_H97,antismash,GCF,other,0,3,3
Agaricus_bisporus_H97,antismash,GCF,terpene,2,12,14
Aspergillus_flavus_NRRL3357,antismash,BGC,Hybrid,7,10,17
Aspergillus_flavus_NRRL3357,antismash,BGC,NRPS,20,0,20
Aspergillus_flavus_NRRL3357,antismash,BGC,PKS,18,0,18
Aspergillus_flavus_NRRL3357,antismash,BGC,RiPP,1,0,1
Aspergillus_flavus_NRRL3357,antismash,BGC,other,5,1,6
Aspergillus_flavus_NRRL3357,antismash,BGC,terpene,15,7,22
Aspergillus_flavus_NRRL3357,funbgcex,BGC,Hybrid,7,0,7
Aspergillus_flavus_NRRL3357,funbgcex,BGC,NRPS,20,11,31
Aspergillus_flavus_NRRL3357,funbgcex,BGC,PKS,18,11,29
Aspergillus_flavus_NRRL3357,funbgcex,BGC,RiPP,1,6,7
Aspergillus_flavus_NRRL3357,funbgcex,BGC,other,5,10,15
Aspergillus_flavus_NRRL3357,funbgcex,BGC,terpene,15,3,18
Aspergillus_flavus_NRRL3357,antismash,GCF,NRPS,15,5,20
Aspergillus_flavus_NRRL3357,antismash,GCF,NRPS;PKS,6,3,9
Aspergillus_flavus_NRRL3357,antismash,GCF,NRPS;PKS;terpene,1,0,1
Aspergillus_flavus_NRRL3357,antismash,GCF,NRPS;terpene,4,1,5
Aspergillus_flavus_NRRL3357,antismash,GCF,PKS,16,3,19
Aspergillus_flavus_NRRL3357,antismash,GCF,PKS;terpene,3,0,3
Aspergillus_flavus_NRRL3357,antismash,GCF,RiPP,1,0,1
Aspergillus_flavus_NRRL3357,antismash,GCF,other,5,1,6
Aspergillus_flavus_NRRL3357,antismash,GCF,terpene,7,15,22
Aspergillus_fumigatus_Af293,antismash,BGC,Hybrid,3,3,6
Aspergillus_fumigatus_Af293,antismash,BGC,NRPS,12,0,12
Aspergillus_fumigatus_Af293,antismash,BGC,PKS,8,0,8
Aspergillus_fumigatus_Af293,antismash,BGC,RiPP,0,0,0
Aspergillus_fumigatus_Af293,antismash,BGC,other,4,0,4
Aspergillus_fumigatus_Af293,antismash,BGC,terpene,11,3,14
Aspergillus_fumigatus_Af293,funbgcex,BGC,Hybrid,3,0,3
Aspergillus_fumigatus_Af293,funbgcex,BGC,NRPS,12,6,18
Aspergillus_fumigatus_Af293,funbgcex,BGC,PKS,8,2,10
