genome,taxon_group,tool,entity_type,class_norm,comparison_applicability,shared_count,unshared_count,not_applicable_count,total
Aspergillus_fumigatus_Af293,fungi,antismash,BGC,Hybrid,applicable,3,3,0,6
Aspergillus_fumigatus_Af293,fungi,antismash,BGC,NRPS,applicable,12,0,0,12
Aspergillus_fumigatus_Af293,fungi,antismash,BGC,PKS,applicable,8,0,0,8
Aspergillus_fumigatus_Af293,fungi,antismash,BGC,RiPP,applicable,0,0,0,0
Aspergillus_fumigatus_Af293,fungi,antismash,BGC,other,applicable,4,0,0,4
Aspergillus_fumigatus_Af293,fungi,antismash,BGC,terpene,applicable,11,3,0,14
Aspergillus_fumigatus_Af293,fungi,funbgcex,BGC,Hybrid,applicable,3,0,0,3
Aspergillus_fumigatus_Af293,fungi,funbgcex,BGC,NRPS,applicable,12,6,0,18
Aspergillus_fumigatus_Af293,fungi,funbgcex,BGC,PKS,applicable,8,2,0,10
Aspergillus_fumigatus_Af293,fungi,funbgcex,BGC,RiPP,applicable,0,2,0,2
Aspergillus_fumigatus_Af293,fungi,funbgcex,BGC,other,applicable,4,7,0,11
Aspergillus_fumigatus_Af293,fungi,funbgcex,BGC,terpene,applicable,11,2,0,13
Aspergillus_fumigatus_Af293,fungi,antismash,GCF,NRPS,applicable,1,11,0,12
Aspergillus_fumigatus_Af293,fungi,antismash,GCF,NRPS;PKS,applicable,0,2,0,2
Aspergillus_fumigatus_Af293,fungi,antismash,GCF,NRPS;PKS;terpene,applicable,0,1,0,1
Aspergillus_fumigatus_Af293,fungi,antismash,GCF,NRPS;terpene,applicable,0,1,0,1
Aspergillus_fumigatus_Af293,fungi,antismash,GCF,PKS,applicable,1,7,0,8
Aspergillus_fumigatus_Af293,fungi,antismash,GCF,PKS;terpene,applicable,0,4,0,4
Aspergillus_fumigatus_Af293,fungi,antismash,GCF,other,applicable,1,4,0,5
Aspergillus_fumigatus_Af293,fungi,antismash,GCF,terpene,applicable,2,12,0,14
Aspergillus_nidulans_FGSC_A4,fungi,antismash,BGC,Hybrid,applicable,5,3,0,8
Aspergillus_nidulans_FGSC_A4,fungi,antismash,BGC,NRPS,applicable,16,0,0,16
Aspergillus_nidulans_FGSC_A4,fungi,antismash,BGC,PKS,applicable,14,1,0,15
Aspergillus_nidulans_FGSC_A4,fungi,antismash,BGC,other,applicable,4,1,0,5
Aspergillus_nidulans_FGSC_A4,fungi,antismash,BGC,terpene,applicable,11,6,0,17
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex,BGC,Hybrid,applicable,5,1,0,6
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex,BGC,NRPS,applicable,16,4,0,20
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex,BGC,PKS,applicable,14,5,0,19
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex,BGC,other,applicable,4,3,0,7
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex,BGC,terpene,applicable,11,0,0,11
