atlas_rank	manual_review_bucket	selection_track	bigscape_cc	shared_cc_primary_family_source	shared_cc_primary_families	shared_cc_all_family_aliases	shared_cc_record_count	shared_cc_dataset_genome_count	focus_ecology_label	shared_cc_focus_genome_count	shared_cc_nonfocus_genome_count	shared_cc_ecology_pattern	shared_cc_categories	shared_cc_classes	shared_cc_target_region_count	priority_shortlist_bucket	rank	priority_score	priority_tier	genome	ecology_group	antismash_region	funbgcex_cluster	antismash_class	gcf_id	gcf_ecology_pattern	gcf_genome_count	gcf_focus_genome_count	gcf_nonfocus_genome_count	consensus_support	annotation_support_tier	nearest_mibig_or_annotation_if_available	antismash_knowncluster_product	funbgcex_putative_product	recommended_followup	ranking_rationale	safe_claim_text
1	atlas_now	dataset_family_atlas	382	mix	FAM_00009;FAM_00010	FAM_00009;FAM_00010;FAM_01392	25	25		0	25	present	NRPS;mix	NRPS-like;NRPS-like.T1PKS;unknown	23		1	13	tier_1	Trichoderma_reesei_QM6a	UNLABELED	NW_006711169.1.region001	BGC32	NRPS	FAM_00009;FAM_01392	present	21	0	21	antiSMASH+FunBGCeX	knowncluster_high	BGC0002276.2 | choline; clustercompare 0.7902874291594641: choline; FBGC00338 66.0: choline	choline	choline	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Trichoderma_reesei_QM6a NW_006711169.1.region001 represents BiG-SCAPE CC 382 (FAM_00009;FAM_00010) with 25 clustered records across 25 dataset genomes. Annotation hints include BGC0002276.2 | choline; clustercompare 0.7902874291594641: choline; FBGC00338 66.0: choline, but product identity is not assigned.
2	atlas_now	dataset_family_atlas	1303	mix	FAM_00041;FAM_00042;FAM_00043	FAM_00041;FAM_00042;FAM_00043	16	16		0	16	present	mix	NRPS-like;NRPS-like.T1PKS.terpene;terpene	14		256	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	NC_066262.1.region004	BGC34	NRPS;PKS;terpene	FAM_00041;FAM_02774	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001839.3 | squalestatin S1; clustercompare 0.9772648059188251: microperfuranone; FBGC00210 99.5: 2,4-dihydroxy-3-methyl-6-(2-oxoundecyl)benzaldehyde	squalestatin S1	2,4-dihydroxy-3-methyl-6-(2-oxoundecyl)benzaldehyde	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 NC_066262.1.region004 represents BiG-SCAPE CC 1303 (FAM_00041;FAM_00042;FAM_00043) with 16 clustered records across 16 dataset genomes. Annotation hints include BGC0001839.3 | squalestatin S1; clustercompare 0.9772648059188251: microperfuranone; FBGC00210 99.5: 2,4-dihydroxy-3-methyl-6-(2-oxoundecyl)benzaldehyde, but product identity is not assigned.
3	atlas_context	dataset_family_atlas	3422	terpene	FAM_01780;FAM_01781	FAM_01780;FAM_01781	14	14		0	14	present	terpene	terpene	13		601	7	tier_3	Aspergillus_fumigatus_Af293	UNLABELED	NC_007200.1.region002		terpene	FAM_00042;FAM_01781	present	4	0	4	antiSMASH-only	knowncluster_high	BGC0001839.3 | squalestatin S1; clustercompare 0.6985130075065554: squalestatin S1	squalestatin S1		manual GCF-context review before follow-up	consensus=antiSMASH-only; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50	Aspergillus_fumigatus_Af293 NC_007200.1.region002 represents BiG-SCAPE CC 3422 (FAM_01780;FAM_01781) with 14 clustered records across 14 dataset genomes. Annotation hints include BGC0001839.3 | squalestatin S1; clustercompare 0.6985130075065554: squalestatin S1, but product identity is not assigned.
4	atlas_now	dataset_family_atlas	1139	mix	FAM_00031;FAM_00032	FAM_00031;FAM_00032;FAM_01765;FAM_01766	13	13		0	13	present	mix;terpene	terpene-precursor	13		597	7	tier_3	Pyricularia_oryzae_70-15	UNLABELED	NC_017844.1.region010	BGC11	terpene	FAM_00031;FAM_01765	present	11	0	11	antiSMASH+FunBGCeX	annotation_text_only	clustercompare 0.24393650893843666: dehydrocurvularin; FBGC00069 3.8: viridicatumtoxin		viridicatumtoxin	manual GCF-context review before follow-up	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited	Pyricularia_oryzae_70-15 NC_017844.1.region010 represents BiG-SCAPE CC 1139 (FAM_00031;FAM_00032) with 13 clustered records across 13 dataset genomes. Annotation hints include clustercompare 0.24393650893843666: dehydrocurvularin; FBGC00069 3.8: viridicatumtoxin, but product identity is not assigned.
5	atlas_now	dataset_family_atlas	1413	mix	FAM_00050	FAM_00050;FAM_02424	12	12		0	12	present	PKS;mix	T1PKS;T1PKS.terpene-precursor	7		20	13	tier_1	Colletotrichum_higginsianum_IMI_349063	UNLABELED	NC_030959.1.region003	BGC52	PKS	FAM_00050;FAM_02424	present	6	0	6	antiSMASH+FunBGCeX	knowncluster_high	BGC0002161.2 | scytalone/T3HN; clustercompare 0.8305879396705224: 1,3,5,8-tetrahydroxynapthalene, 1-(alpha-l-(2-O-methyl)-6-deoxymannopyranosyloxy)-3,6,8-trimethoxynaphthalene; FBGC00237 38.3: scytalone	scytalone/T3HN	scytalone	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Colletotrichum_higginsianum_IMI_349063 NC_030959.1.region003 represents BiG-SCAPE CC 1413 (FAM_00050) with 12 clustered records across 12 dataset genomes. Annotation hints include BGC0002161.2 | scytalone/T3HN; clustercompare 0.8305879396705224: 1,3,5,8-tetrahydroxynapthalene, 1-(alpha-l-(2-O-methyl)-6-deoxymannopyranosyloxy)-3,6,8-trimethoxynaphthalene; FBGC00237 38.3: scytalone, but product identity is not assigned.
6	atlas_now	dataset_family_atlas	1262	mix	FAM_00038;FAM_00039	FAM_00038;FAM_00039;FAM_01769	11	8		0	8	present	mix;terpene	NRPS.T1PKS;terpene	7		26	13	tier_1	Fusarium_oxysporum_Fo47	UNLABELED	NC_072850.1.region004	BGC59	terpene	FAM_00038;FAM_01769	present	4	0	4	antiSMASH+FunBGCeX	knowncluster_high	BGC0001642.3 | koraiol; clustercompare 0.934544222518233: koraiol; FBGC00602 97.8: koraiol	koraiol	koraiol	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Fusarium_oxysporum_Fo47 NC_072850.1.region004 represents BiG-SCAPE CC 1262 (FAM_00038;FAM_00039) with 11 clustered records across 8 dataset genomes. Annotation hints include BGC0001642.3 | koraiol; clustercompare 0.934544222518233: koraiol; FBGC00602 97.8: koraiol, but product identity is not assigned.
7	atlas_now	dataset_family_atlas	621	mix	FAM_00016	FAM_00016	11	5		0	5	present	mix	NRPS.T1PKS.indole;T1PKS;T1PKS.indole;unknown	2		219	10	tier_2	Aspergillus_oryzae_RIB40	UNLABELED	NC_036437.1.region010	BGC38	PKS;indole	FAM_00016;FAM_02770	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000004.3 | aflatoxin G1; clustercompare 0.7224694711109316: α-cyclopiazonic acid; FBGC00042 86.8: aflatoxins	aflatoxin G1	aflatoxins	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_oryzae_RIB40 NC_036437.1.region010 represents BiG-SCAPE CC 621 (FAM_00016) with 11 clustered records across 5 dataset genomes. Annotation hints include BGC0000004.3 | aflatoxin G1; clustercompare 0.7224694711109316: α-cyclopiazonic acid; FBGC00042 86.8: aflatoxins, but product identity is not assigned.
8	atlas_now	dataset_family_atlas	2509	mix	FAM_00081;FAM_00082	FAM_00081;FAM_00082;FAM_02313;FAM_02314	10	9		0	9	present	NRPS.PKS;mix	NRPS;NRPS.T1PKS;unknown	3		46	12	tier_1	Aspergillus_flavus_NRRL3357	UNLABELED	CP059871.1.region011	BGC81	NRPS	FAM_00082;FAM_01428	present	2	0	2	antiSMASH+FunBGCeX	knowncluster_high	BGC0001123.5 | aspirochlorine; clustercompare 0.7963386524006225: aspirochlorine; FBGC00397 99.1: aspirochlorine	aspirochlorine	aspirochlorine	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_flavus_NRRL3357 CP059871.1.region011 represents BiG-SCAPE CC 2509 (FAM_00081;FAM_00082) with 10 clustered records across 9 dataset genomes. Annotation hints include BGC0001123.5 | aspirochlorine; clustercompare 0.7963386524006225: aspirochlorine; FBGC00397 99.1: aspirochlorine, but product identity is not assigned.
9	atlas_now	dataset_family_atlas	708	mix	FAM_00017;FAM_00018	FAM_00017;FAM_00018;FAM_01761;FAM_01762	10	9		0	9	present	mix;terpene	NRPS.T1PKS.terpene;terpene	10		81	11	tier_1	Aspergillus_fumigatus_Af293	UNLABELED	NC_007198.1.region005	BGC34	terpene	FAM_00018;FAM_01762	present	6	0	6	antiSMASH+FunBGCeX	knowncluster_high	BGC0001248.3 | clavaric acid; clustercompare 0.79546063406169: clavaric acid; FPROT00020 5.9: arthripenoids	clavaric acid	arthripenoids	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7	Aspergillus_fumigatus_Af293 NC_007198.1.region005 represents BiG-SCAPE CC 708 (FAM_00017;FAM_00018) with 10 clustered records across 9 dataset genomes. Annotation hints include BGC0001248.3 | clavaric acid; clustercompare 0.79546063406169: clavaric acid; FPROT00020 5.9: arthripenoids, but product identity is not assigned.
10	atlas_now	dataset_family_atlas	1073	mix	FAM_00029	FAM_00029;FAM_02419	9	9		0	9	present	PKS;mix	NRPS.T1PKS;T1PKS	6		25	13	tier_1	Aspergillus_niger	UNLABELED	NT_166526.1.region009	BGC100	PKS	FAM_00029;FAM_02419	present	5	0	5	antiSMASH+FunBGCeX	knowncluster_high	BGC0000156.5 | TAN-1612/1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione/desmethyl TAN-1612; clustercompare 0.8514259733992051: TAN-1612, 1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione, desmethyl TAN-1612; FBGC00244 99.4: TAN-1612	TAN-1612/1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione/desmethyl TAN-1612	TAN-1612	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Aspergillus_niger NT_166526.1.region009 represents BiG-SCAPE CC 1073 (FAM_00029) with 9 clustered records across 9 dataset genomes. Annotation hints include BGC0000156.5 | TAN-1612/1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione/desmethyl TAN-1612; clustercompare 0.8514259733992051: TAN-1612, 1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione, desmethyl TAN-1612; FBGC00244 99.4: TAN-1612, but product identity is not assigned.
