genome,taxon_group,detector_relation,scaffold,overlap_bp,antismash_bgc_id,antismash_start,antismash_end,antismash_bgc_class,antismash_knowncluster_similarity_score,antismash_knowncluster_accession,antismash_knowncluster_product,antismash_clustercompare_similarity_score,antismash_clustercompare_compounds,antismash_clustercompare_organism,funbgcex_bgc_id,funbgcex_start,funbgcex_end,funbgcex_core_enzymes,funbgcex_similar_bgc,funbgcex_similarity_score,funbgcex_putative_product,same_putative_product_exact,same_putative_product_keyword
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007194,0,,,,,,,,,,,BGC6,4788607,4795005,TC (Tri5),,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007194,20850,NC_007194.1.region001,322044,388955,PKS,,,,0.7449064201429001,ACT-Toxin II,Alternaria alternata,BGC1,338106,358955,HR-PKS,FBGC00253,12.8,tenuazonic acid,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007194,9259,NC_007194.1.region002,2601383,2632348,terpene,,,,0.4325135858906292,HEx-tc1 terpene,Trichoderma virens Gv29-8,BGC2,2610281,2619539,TC (UbiA),,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007194,32363,NC_007194.1.region003,2645699,2724887,NRPS,75,BGC0001699.4,nidulanin A,0.6685945788176467,"cyclo-(D-Phe-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Phe-D-Val-L-Ile), cyclo-(D-Phe-L-Phe-D-Ile-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Ile), cyclo-(D-Tyr-L-Trp-D-Ile-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Ile), cyclo-(D-Tyr-L-Phe-D-Ile-L-Val)",Penicillium rubens Wisconsin 54-1255,BGC3,2673293,2705655,NRPS,FBGC00348,52.7,nidulanin A,yes,yes
Aspergillus_fumigatus_Af293,fungi,shared,NC_007194,13786,NC_007194.1.region004,3477224,3508445,terpene,,,,0.563022204057563,"pimara-8(14),15-diene",Aspergillus nidulans FGSC A4,BGC4,3479660,3493445,PPPS,FBGC00800,20.8,(-)-vinigrol or its analogue,no,no
Aspergillus_fumigatus_Af293,fungi,antismash_only,NC_007194,0,NC_007194.1.region005,4014547,4053436,other,,,,0.3094974923184847,"belactosin A, belactosin C",Streptomyces sp.,,,,,,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007194,34275,NC_007194.1.region006,4658800,4733141,NRPS,25,BGC0002710.2,metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid,0.6944678388111591,epichloenin A,Epichloe festucae,BGC5,4668867,4703141,NRPS,FBGC00373,100.0,triacetylfusarinine C/hydroxyferricrocin,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007194,40129,NC_007194.1.region007,4872297,4918979,PKS,75,BGC0002139.3,burnettiene A/preburnettiene B/preburnettiene A,0.6801303429453903,"burnettiene A, preburnettiene B, preburnettiene A",Aspergillus burnettii FRR 5400,BGC7,4829039,4912425,HR-PKS,FBGC00611,63.1,burnettiene A,no,yes
Aspergillus_fumigatus_Af293,fungi,shared,NC_007195,27353,NC_007195.1.region001,276145,344706,PKS,,,,0.7328612242034644,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC8,293643,320995,HR-PKS,,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007195,2990,NC_007195.1.region002,473428,504477,terpene,,,,0.31958290514178994,"(-)-Cyatha-3,12-diene",Dentipellis sp. KUC8613,BGC9,486488,489477,TC (UbiA),,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007195,36662,NC_007195.1.region003,4657844,4724505,PKS,100,BGC0002175.3,YWA1,0.8353356436122518,YWA1,Aspergillus oryzae RIB40,BGC10,4657628,4694505,NR-PKS,FBGC00334,100.0,DHN-melanin,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007195,23811,NC_007195.1.region004,4767515,4810220,indole,100,BGC0000811.3,fumigaclavine C,1.0,fumigaclavine C,Aspergillus fumigatus Af293,BGC11,4775380,4799190,"PT (DMATS), PT (DMATS)",FBGC00063,47.6,elymoclavine,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007196,0,,,,,,,,,,,BGC14,694320,708220,NRPS-like,FBGC00208,26.1,azasperpyranone A,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007196,23573,NC_007196.1.region001,322856,390985,PKS,16,BGC0002222.2,zopfiellin,0.6559483200967456,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC12,348200,371772,HR-PKS,FBGC00669,16.9,cordycepin,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007196,50308,NC_007196.1.region002,616906,727670,NRPS;PKS,18,BGC0002267.2,azasperpyranone A/azasperpyranone B/azasperpyranone C/azasperpyranone D/azasperpyranone E/azasperpyranone F/azasperpyranone G/azasperpyranone H,0.6628235323536298,alternariol,Parastagonospora nodorum SN15,BGC13,619106,669413,NR-PKS,FBGC00525,4.7,duclauxin,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007196,73664,NC_007196.1.region003,862438,944474,NRPS,25,BGC0002710.2,metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid,0.7486718325815241,dimethylcoprogen,Alternaria alternata,BGC15,864234,937897,"NRPS, NRPS",FBGC00374,100.0,triacetylfusarinine C/hydroxyferricrocin,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007196,22264,NC_007196.1.region004,3400194,3466923,NRPS;indole,100,BGC0000372.5,hexadehydroastechrome/terezine-D/astechrome,0.9782136955816919,"hexadehydroastechrome, terezine-D, astechrome",Aspergillus fumigatus Af293,BGC16,3423866,3446129,"NRPS, PT (DMATS)",FBGC00594,99.6,hexadehydroastechrome,no,yes
Aspergillus_fumigatus_Af293,fungi,shared,NC_007196,17309,NC_007196.1.region005,3573135,3653216,NRPS,,,,0.7330867000093984,dimethylcoprogen,Alternaria alternata,BGC17,3605885,3623193,"NRPS, ICS, NRPS-like",FBGC00541,100.0,(S)-2-isocyanoisovaleric acid,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007196,26111,NC_007196.1.region006,3867251,3934985,PKS,,,,0.753728360832584,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC18,3895396,3921506,HR-PKS,FBGC00555,88.3,sphingofungins,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007196,20688,NC_007196.1.region007,3980522,4047637,NRPS,,,,0.7230652683191424,dimethylcoprogen,Alternaria alternata,BGC19,4002781,4023468,NRPS,FBGC00817,6.0,ligustrone A,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007197,0,,,,,,,,,,,BGC22,373174,384448,ICS,FBGC00350,13.3,asperphenamate,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007197,0,,,,,,,,,,,BGC23,1514323,1515582,PT (UbiA),,,,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007197,0,,,,,,,,,,,BGC24,2155227,2159358,PT (UbiA),,,,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007197,0,,,,,,,,,,,BGC25,2934763,2944294,NRPS-like,FBGC00667,24.8,isaridins,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007197,33038,NC_007197.1.region001,25988,91485,PKS,100,BGC0001118.5,endocrocin,0.8735804647362989,endocrocin,Aspergillus fumigatus Af293,BGC20,35916,68953,NR-PKS,FBGC00240,97.5,endocrocin,yes,yes
Aspergillus_fumigatus_Af293,fungi,shared,NC_007197,11282,NC_007197.1.region002,331058,392971,other,,,,0.43549734929334183,sinapigladioside,Burkholderia gladioli,BGC21,358663,369944,ICS,,,,no,no
Aspergillus_fumigatus_Af293,fungi,antismash_only,NC_007197,0,NC_007197.1.region003,904113,934899,terpene,,,,0.3444830324687981,yanuthone D,Aspergillus niger ATCC 1015,,,,,,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007197,3875,NC_007197.1.region004,3145656,3177957,terpene,100,BGC0001248.3,clavaric acid,0.7871079859405229,clavaric acid,Hypholoma sublateritium,BGC26,3160656,3164530,TC (SHC/OSC),FPROT00020,4.8,arthripenoids,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007197,26292,NC_007197.1.region005,3806931,3872461,PKS,100,BGC0001403.3,trypacidin,0.8735804647362989,trypacidin,Aspergillus fumigatus Af293,BGC27,3822105,3848396,NR-PKS,FBGC00246,100.0,trypacidin,yes,yes
Aspergillus_fumigatus_Af293,fungi,shared,NC_007197,17647,NC_007197.1.region006,3877066,3909273,terpene,100,BGC0000686.3,helvolic acid,1.0,helvolic acid,Aspergillus fumigatus Af293,BGC28,3890696,3908342,TC (SHC/OSC),FBGC00467,100.0,helvolic acid,yes,yes
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007198,0,,,,,,,,,,,BGC30,78168,107442,NRPS,FBGC00528,6.0,tricholignan A,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007198,17139,NC_007198.1.region001,1,20290,terpene,100,BGC0002173.2,"fumihopaside A/compound 3/21-β-H-hopane-3beta, 22-diol",0.9384457042294712,"fumihopaside A, compound 3, 21-β-H-hopane-3beta, 22-diol",Aspergillus fumigatus A1163,BGC29,3152,25947,TC (SHC/OSC),FBGC00466,98.5,fumihopaside A,no,yes
Aspergillus_fumigatus_Af293,fungi,shared,NC_007198,31656,NC_007198.1.region002,392927,424582,terpene,8,BGC0001882.3,chrysoxanthone A/chrysoxanthone B/chrysoxanthone C,0.561694911989972,preaspterpenacid I,Aspergillus terreus NIH2624,BGC31,389543,425737,chimeric TS,FBGC00799,15.8,(-)-vinigrol or its analogue,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007198,3932,NC_007198.1.region003,616975,648093,terpene,,,,0.33823657388174955,raimonol,Streptomyces anulatus,BGC32,629162,633093,PPPS,FBGC00069,3.9,viridicatumtoxin,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007198,22291,NC_007198.1.region004,666714,729049,other,,,,0.491162089487341,itaconic acid,Ustilago maydis,BGC33,685654,707944,ICS,FBGC00570,99.9,xanthocillin,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007198,2398,NC_007198.1.region005,1069167,1101564,terpene,100,BGC0001248.3,clavaric acid,0.79546063406169,clavaric acid,Hypholoma sublateritium,BGC34,1084167,1086564,TC (SHC/OSC),FPROT00020,5.9,arthripenoids,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007198,10534,NC_007198.1.region006,2573086,2636910,NRPS,100,BGC0002276.2,choline,0.8181261742884133,choline,Aspergillus nidulans FGSC A4,BGC35,2600579,2611112,NRPS-like,FBGC00338,80.1,choline,yes,yes
Aspergillus_fumigatus_Af293,fungi,shared,NC_007198,39988,NC_007198.1.region007,3284537,3370084,NRPS,,,,0.7374837259063708,AM-toxin,Alternaria alternata,BGC36,3302805,3342792,NRPS,,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007198,14768,NC_007198.1.region008,3771987,3802774,terpene,,,,0.3293733488049858,chevalone E,Aspergillus versicolor,BGC37,3781952,3796719,TC (Pyr4),FBGC00019,7.2,chevalone E,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007198,6477,NC_007198.1.region009,3882536,3915493,terpene,,,,0.5148645052322908,conidiogenone,Penicillium rubens Wisconsin 54-1255,BGC38,3895482,3901958,TC (PbcA),,,,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007199,0,,,,,,,,,,,BGC40,173570,176207,RiPP PP,,,,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007199,0,,,,,,,,,,,BGC42,1459745,1476209,TC (SHC/OSC),,,,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007199,0,,,,,,,,,,,BGC43,1619643,1625779,PT (UbiA),FBGC00814,5.1,asperpentyn,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007199,0,,,,,,,,,,,BGC45,2334637,2344096,NRPS,FBGC00341,25.6,acetylaszonalenin,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007199,3006,NC_007199.1.region001,102859,133698,terpene,,,,0.3285985539614711,mycophenolic acid,Penicillium brevicompactum,BGC39,115693,118698,TC (Pyr4),,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007199,26003,NC_007199.1.region002,718395,783511,NRPS,20,BGC0001621.4,imizoquin A/imizoquin B/imizoquin C/imizoquin D/TMC-2A/TMC-2B,0.6169159392024016,peramine,Epichloe festucae,BGC41,734987,760989,NRPS-like,FBGC00189,99.8,fumisoquin C,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007199,8725,NC_007199.1.region003,1993279,2056507,NRPS,,,,0.4412916152477488,Livipeptin,Streptomyces lividans 1326,BGC44,2017783,2026507,NRPS-like,,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007199,48057,NC_007199.1.region004,2309538,2410042,NRPS;terpene,100,BGC0002162.3,sesterfisherol/sesterfisheric acid/compound 6/compound 7a/compound 5/compound 8,0.8535819003289866,"sesterfisherol, sesterfisheric acid, compound 6, compound 7a, compound 5, compound 8",Aspergillus fischeri NRRL 181,BGC46,2346986,2395042,"NRPS, chimeric TS",FBGC00058,98.8,gliotoxin,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007199,24812,NC_007199.1.region005,2983593,3065305,NRPS,100,BGC0000355.5,fumiquinazoline A/fumiquinazoline C/fumiquinazoline D,0.9245410766398379,"fumiquinazoline A, fumiquinazoline C, fumiquinazoline D",Aspergillus fumigatus Af293,BGC47,3010494,3035305,"NRPS, NRPS",FBGC00343,99.3,fumiquinazoline C,no,yes
