atlas_rank	manual_review_bucket	selection_track	bigscape_cc	shared_cc_primary_family_source	shared_cc_primary_families	shared_cc_all_family_aliases	shared_cc_record_count	shared_cc_dataset_genome_count	focus_ecology_label	shared_cc_focus_genome_count	shared_cc_nonfocus_genome_count	shared_cc_ecology_pattern	shared_cc_categories	shared_cc_classes	shared_cc_target_region_count	priority_shortlist_bucket	rank	priority_score	priority_tier	genome	ecology_group	antismash_region	funbgcex_cluster	antismash_class	gcf_id	gcf_ecology_pattern	gcf_genome_count	gcf_focus_genome_count	gcf_nonfocus_genome_count	consensus_support	annotation_support_tier	nearest_mibig_or_annotation_if_available	antismash_knowncluster_product	funbgcex_putative_product	recommended_followup	ranking_rationale	safe_claim_text
1	atlas_now	dataset_family_atlas	886	mix	FAM_00004	FAM_00004;FAM_00137	4	4		0	4	present	PKS;mix	T1PKS	1		20	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001304.1.region001	BGC19	PKS	FAM_00004;FAM_00137	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002237.3 | dichlorodiaporthin; clustercompare 1.0: alternariol; FBGC00563 66.8: 8-methyldichlorodiaporthin	dichlorodiaporthin	8-methyldichlorodiaporthin	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 BN001304.1.region001 represents BiG-SCAPE CC 886 (FAM_00004) with 4 clustered records across 4 dataset genomes. Annotation hints include BGC0002237.3 | dichlorodiaporthin; clustercompare 1.0: alternariol; FBGC00563 66.8: 8-methyldichlorodiaporthin, but product identity is not assigned.
2	atlas_now	dataset_family_atlas	4142	mix	FAM_00016	FAM_00016;FAM_00180	3	3		0	3	present	NRPS;mix	NRPS-like	2		1	12	tier_1	Darksidea_phi_DS919	UNLABELED	JASJFT010000006.1.region002	BGC9	NRPS	FAM_00016;FAM_00180	present	2	0	2	antiSMASH+FunBGCeX	knowncluster_high	BGC0002276.2 | choline; clustercompare 0.8158680183588182: choline; FBGC00338 71.1: choline	choline	choline	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Darksidea_phi_DS919 JASJFT010000006.1.region002 represents BiG-SCAPE CC 4142 (FAM_00016) with 3 clustered records across 3 dataset genomes. Annotation hints include BGC0002276.2 | choline; clustercompare 0.8158680183588182: choline; FBGC00338 71.1: choline, but product identity is not assigned.
3	atlas_now	dataset_family_atlas	1274	mix	FAM_00006	FAM_00006	3	3		0	3	present	mix	NRPS-like;NRPS-like.T1PKS.terpene;terpene	1		24	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001306.1.region004	BGC34	NRPS;PKS;terpene	FAM_00006;FAM_00269	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001839.3 | squalestatin S1; clustercompare 0.9772648059188251: microperfuranone; FBGC00210 99.5: 2,4-dihydroxy-3-methyl-6-(2-oxoundecyl)benzaldehyde	squalestatin S1	2,4-dihydroxy-3-methyl-6-(2-oxoundecyl)benzaldehyde	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 BN001306.1.region004 represents BiG-SCAPE CC 1274 (FAM_00006) with 3 clustered records across 3 dataset genomes. Annotation hints include BGC0001839.3 | squalestatin S1; clustercompare 0.9772648059188251: microperfuranone; FBGC00210 99.5: 2,4-dihydroxy-3-methyl-6-(2-oxoundecyl)benzaldehyde, but product identity is not assigned.
4	atlas_now	dataset_family_atlas	3365	mix	FAM_00014	FAM_00014;FAM_00141	3	3		0	3	present	PKS;mix	T1PKS	1		30	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001302.1.region006	BGC11	PKS	FAM_00014;FAM_00141	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000107.3 | naphthopyrone; clustercompare 1.0: naphthopyrone; FBGC00615 36.5: YWA1 derivative	naphthopyrone	YWA1 derivative	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 BN001302.1.region006 represents BiG-SCAPE CC 3365 (FAM_00014) with 3 clustered records across 3 dataset genomes. Annotation hints include BGC0000107.3 | naphthopyrone; clustercompare 1.0: naphthopyrone; FBGC00615 36.5: YWA1 derivative, but product identity is not assigned.
5	atlas_now	dataset_family_atlas	6036	mix	FAM_00019	FAM_00019	3	2		0	2	present	mix	T1PKS;unknown	1		29	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001302.1.region002	BGC8	PKS	FAM_00019;FAM_00143	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000057.5 | F9775A/F9775B/orsellinic acid; clustercompare 0.8126410337774762: F9775A, F9775B, orsellinic acid; FBGC00232 66.7: diorcinol	F9775A/F9775B/orsellinic acid	diorcinol	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 BN001302.1.region002 represents BiG-SCAPE CC 6036 (FAM_00019) with 3 clustered records across 2 dataset genomes. Annotation hints include BGC0000057.5 | F9775A/F9775B/orsellinic acid; clustercompare 0.8126410337774762: F9775A, F9775B, orsellinic acid; FBGC00232 66.7: diorcinol, but product identity is not assigned.
6	atlas_now	dataset_family_atlas	1654	mix	FAM_00007	FAM_00007;FAM_00204	2	2		0	2	present	NRPS.PKS;mix	NRPS.T1PKS	1		3	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001305.1.region002	BGC23	NRPS;PKS	FAM_00007;FAM_00204	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000959.5 | aspyridone A/aspyridone B; clustercompare 0.9913788813506663: aspyridone A, aspyridone B; FBGC00284 99.1: aspyridone A	aspyridone A/aspyridone B	aspyridone A	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Aspergillus_nidulans_FGSC_A4 BN001305.1.region002 represents BiG-SCAPE CC 1654 (FAM_00007) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0000959.5 | aspyridone A/aspyridone B; clustercompare 0.9913788813506663: aspyridone A, aspyridone B; FBGC00284 99.1: aspyridone A, but product identity is not assigned.
7	atlas_now	dataset_family_atlas	968	mix	FAM_00005	FAM_00005	2	2		0	2	present	mix	NRPS-like.T1PKS;T1PKS	1		4	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001301.1.region001	BGC1	NRPS;PKS	FAM_00005;FAM_00211	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000037.4 | cichorine; clustercompare 1.0: cichorine; FBGC00212 100.0: cichorine	cichorine	cichorine	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_nidulans_FGSC_A4 BN001301.1.region001 represents BiG-SCAPE CC 968 (FAM_00005) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0000037.4 | cichorine; clustercompare 1.0: cichorine; FBGC00212 100.0: cichorine, but product identity is not assigned.
8	atlas_now	dataset_family_atlas	4169	mix	FAM_00017	FAM_00017;FAM_00205	2	2		0	2	present	NRPS.PKS;mix	NRPS.T1PKS	1		5	11	tier_1	Darksidea_phi_DS919	UNLABELED	JASJFT010000270.1.region001	BGC83	NRPS;PKS	FAM_00017;FAM_00205	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001741.3 | phyllostictine A/phyllostictine B; clustercompare 0.8573268899753471: phyllostictine A, phyllostictine B; FBGC00113 82.7: phyllostictine A	phyllostictine A/phyllostictine B	phyllostictine A	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Darksidea_phi_DS919 JASJFT010000270.1.region001 represents BiG-SCAPE CC 4169 (FAM_00017) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0001741.3 | phyllostictine A/phyllostictine B; clustercompare 0.8573268899753471: phyllostictine A, phyllostictine B; FBGC00113 82.7: phyllostictine A, but product identity is not assigned.
9	atlas_now	dataset_family_atlas	2164	mix	FAM_00012	FAM_00012;FAM_00140	2	2		0	2	present	PKS;mix	T1PKS	1		6	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001304.1.region002	BGC20	PKS	FAM_00012;FAM_00140	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000011.3 | Sterigmatocystin/Aflatoxin B1/Aflatoxin B2; clustercompare 0.7664450485992107: 6-methylsalicyclic acid; FBGC00062 80.6: sterigmatocystin	Sterigmatocystin/Aflatoxin B1/Aflatoxin B2	sterigmatocystin	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Aspergillus_nidulans_FGSC_A4 BN001304.1.region002 represents BiG-SCAPE CC 2164 (FAM_00012) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0000011.3 | Sterigmatocystin/Aflatoxin B1/Aflatoxin B2; clustercompare 0.7664450485992107: 6-methylsalicyclic acid; FBGC00062 80.6: sterigmatocystin, but product identity is not assigned.
10	atlas_now	dataset_family_atlas	2558	mix	FAM_00013	FAM_00013;FAM_00267	2	2		0	2	present	NRPS.other;mix	NRPS-like.indole;NRPS.NRPS-like.indole	1		7	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001305.1.region004	BGC26	NRPS;indole	FAM_00013;FAM_00267	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000442.5 | terrequinone A; clustercompare 0.9811275528138894: terrequinone A; FBGC00408 92.1: terrequinone A	terrequinone A	terrequinone A	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_nidulans_FGSC_A4 BN001305.1.region004 represents BiG-SCAPE CC 2558 (FAM_00013) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0000442.5 | terrequinone A; clustercompare 0.9811275528138894: terrequinone A; FBGC00408 92.1: terrequinone A, but product identity is not assigned.
