genome,scaffold,overlap_bp,antismash_bgc_id,antismash_start,antismash_end,antismash_bgc_class,antismash_knowncluster_similarity_score,antismash_knowncluster_accession,antismash_knowncluster_product,antismash_clustercompare_similarity_score,antismash_clustercompare_compounds,antismash_clustercompare_organism,funbgcex_bgc_id,funbgcex_start,funbgcex_end,funbgcex_core_enzymes,funbgcex_similar_bgc,funbgcex_similarity_score,funbgcex_putative_product,same_putative_product_exact,same_putative_product_keyword
Agaricus_bisporus_H97,CP015458,1808,CP015458.1.region001,1932638,1964445,terpene,,,,0.3059267255021646,"calidoustene A, calidoustene B, calidoustene C",Aspergillus calidoustus,BGC1,1947638,1949445,TC (AstC),FBGC00150,7.5,nanangenines,no,no
Agaricus_bisporus_H97,CP015458,4499,CP015458.1.region002,2759994,2791378,terpene,,,,0.5504787132206546,"pimara-8(14),15-diene",Aspergillus nidulans FGSC A4,BGC2,2774994,2779492,PPPS,FBGC00476,15.5,aflatrem,no,no
Agaricus_bisporus_H97,CP015460,17909,CP015460.1.region001,1936053,2002109,PKS,,,,0.630942616745696,6-methylsalicyclic acid,Aspergillus terreus,BGC3,1954201,1972109,NR-PKS,FPROT00037,17.2,orsellinaldehyde,no,no
Agaricus_bisporus_H97,CP015460,0,CP015460.1.region002,2983004,3013633,terpene,,,,,,,,,,,,,,no,no
Agaricus_bisporus_H97,CP015461,0,,,,,,,,,,,BGC6,889407,890321,PT (UbiA),,,,no,no
Agaricus_bisporus_H97,CP015461,1124,CP015461.1.region001,425546,456669,terpene,40,BGC0002707.2,(+)-δ-cadinol,0.8174020346990737,(+)-δ-cadinol,Coniophora puteana RWD-64-598 SS2,BGC4,440546,441669,TC (Class1),FBGC00641,63.5,(+)-delta-cadinol,no,yes
Agaricus_bisporus_H97,CP015461,8788,CP015461.1.region002,804642,868723,NRPS,,,,0.7439310445310052,atromentin,Suillus grevillei,BGC5,834642,843429,NRPS-like,,,,no,no
Agaricus_bisporus_H97,CP015461,0,CP015461.1.region003,1131587,1180967,other,,,,0.399324700151328,"trichobrasilenol, xylarenic acid B, brasilane A, brasilane F, brasilane E, brasilane D",Annulohypoxylon truncatum,,,,,,,,no,no
Agaricus_bisporus_H97,CP015461,6467,CP015461.1.region004,1343700,1374941,terpene,,,,0.2732914405939853,vicibactin,Rhizobium etli CFN 42,BGC7,1353475,1359941,TC (Class1),FBGC00451,62.1,delta-cadinene,no,no
Agaricus_bisporus_H97,CP015462,0,,,,,,,,,,,BGC11,2186731,2191009,TC (Tri5),,,,no,no
Agaricus_bisporus_H97,CP015462,0,CP015462.1.region001,301033,332950,terpene,,,,0.5356653440896397,squalestatin S1,Aspergillus sp. Z5,,,,,,,,no,no
Agaricus_bisporus_H97,CP015462,5553,CP015462.1.region002,493310,558862,NRPS,,,,0.3163744293283967,citrinin,Monascus aurantiacus,BGC8,523310,528862,NRPS-like,,,,no,no
Agaricus_bisporus_H97,CP015462,6454,CP015462.1.region003,1626331,1659117,terpene,100,BGC0001248.3,clavaric acid,0.8288536215353091,clavaric acid,Hypholoma sublateritium,BGC9,1641331,1647784,TC (SHC/OSC),FBGC00468,7.6,cephalosporin P1,no,no
Agaricus_bisporus_H97,CP015462,5995,CP015462.1.region004,2167813,2202711,terpene,,,,0.258974156107645,citrulline,Lactobacillus plantarum subsp. plantarum,BGC10,2177495,2183489,TC (Tri5),,,,no,no
Agaricus_bisporus_H97,CP015463,0,,,,,,,,,,,BGC12,710506,712412,TC (SHC/OSC),,,,no,no
Agaricus_bisporus_H97,CP015463,0,CP015463.1.region001,857528,888691,terpene,,,,,,,,,,,,,,no,no
Agaricus_bisporus_H97,CP015463,6894,CP015463.1.region002,1590964,1622249,terpene,,,,0.2605750970648576,viridicatumtoxin,Penicillium aethiopicum,BGC13,1602686,1609579,PPPS,,,,no,no
Agaricus_bisporus_H97,CP015463,3508,CP015463.1.region003,2191129,2254636,NRPS,,,,0.3680892608679638,"Colletochlorin A, Colletorin A, Colletochlorin B, Colletochlorin D, Colletorin D, Colletorin D acid, Orsellinic acid, Colletorin B",Colletotrichum higginsianum IMI 349063,BGC14,2221129,2224636,NRPS-like,FPROT00037,17.3,orsellinaldehyde,no,no
