atlas_rank	manual_review_bucket	selection_track	bigscape_cc	shared_cc_primary_family_source	shared_cc_primary_families	shared_cc_all_family_aliases	shared_cc_record_count	shared_cc_dataset_genome_count	focus_ecology_label	shared_cc_focus_genome_count	shared_cc_nonfocus_genome_count	shared_cc_ecology_pattern	shared_cc_categories	shared_cc_classes	shared_cc_target_region_count	priority_shortlist_bucket	rank	priority_score	priority_tier	genome	ecology_group	antismash_region	funbgcex_cluster	antismash_class	gcf_id	gcf_memberships	gcf_selected_category	gcf_selected_threshold	gcf_selected_id	gcf_selected_status	gcf_ecology_pattern	gcf_genome_count	gcf_focus_genome_count	gcf_nonfocus_genome_count	consensus_support	annotation_support_tier	nearest_mibig_or_annotation_if_available	antismash_knowncluster_product	funbgcex_putative_product	recommended_followup	ranking_rationale	safe_claim_text
1	atlas_now	dataset_family_atlas	514	mix	FAM_00007;FAM_00008;FAM_01283;FAM_01284	FAM_00007;FAM_00008;FAM_01283;FAM_01284	12	3		0	3	present	mix	lassopeptide;terpene	7		75	9	tier_2	Streptomyces_coelicolor_A3_2	UNLABELED	Streptomyces_coelicolor_A3_2_NC_003888.3.region002		terpene	FAM_00007;FAM_00638;FAM_01283;FAM_02219	mix@c0.3=FAM_00007;mix@c0.3=FAM_01283;terpene@c0.3=FAM_00638;terpene@c0.3=FAM_02219	mix	0.3	FAM_00007;FAM_01283	assigned	present	3	0	3	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0001456.3 | isorenieratene; clustercompare 0.8215659395952707: isorenieratene	isorenieratene		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_coelicolor_A3_2 Streptomyces_coelicolor_A3_2_NC_003888.3.region002 represents BiG-SCAPE CC 514 (FAM_00007;FAM_00008;FAM_01283;FAM_01284) with 12 clustered records across 3 dataset genomes. Annotation hints include BGC0001456.3 | isorenieratene; clustercompare 0.8215659395952707: isorenieratene, but product identity is not assigned.
2	atlas_now	dataset_family_atlas	778	mix	FAM_00016;FAM_01292	FAM_00016;FAM_01292	9	3		0	3	present	mix	NI-siderophore	3		45	10	tier_2	Streptomyces_avermitilis_MA-4680	UNLABELED	Streptomyces_avermitilis_MA-4680_NC_003155.5.region027		other	FAM_00016;FAM_00959;FAM_01292;FAM_02073	mix@c0.3=FAM_00016;mix@c0.3=FAM_01292;other@c0.3=FAM_00959;other@c0.3=FAM_02073	mix	0.3	FAM_00016;FAM_01292	assigned	present	3	0	3	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000940.5 | desferrioxamin B/desferrioxamine E; clustercompare 0.83357235948651: desferrioxamin B	desferrioxamin B/desferrioxamine E		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7	Streptomyces_avermitilis_MA-4680 Streptomyces_avermitilis_MA-4680_NC_003155.5.region027 represents BiG-SCAPE CC 778 (FAM_00016;FAM_01292) with 9 clustered records across 3 dataset genomes. Annotation hints include BGC0000940.5 | desferrioxamin B/desferrioxamine E; clustercompare 0.83357235948651: desferrioxamin B, but product identity is not assigned.
3	atlas_now	dataset_family_atlas	2572	mix	FAM_00052;FAM_00053;FAM_01328;FAM_01329	FAM_00052;FAM_00053;FAM_01328;FAM_01329	8	1		0	1	present	mix	NRPS;NRPS.T1PKS;unknown	1		32	11	tier_1	Aspergillus_niger	UNLABELED	NT_166530.1.region006	BGC43	NRPS;PKS	FAM_00053;FAM_01205;FAM_01329;FAM_02466	mix@c0.3=FAM_00053;mix@c0.3=FAM_01329;nrps.pks@c0.3=FAM_01205;nrps.pks@c0.3=FAM_02466	mix	0.3	FAM_00053;FAM_01329	assigned	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002606.2 | ochratoxin A; clustercompare 0.935234727055692: ochratoxin A; FBGC00126 82.4: ochratoxin A	ochratoxin A	ochratoxin A	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_niger NT_166530.1.region006 represents BiG-SCAPE CC 2572 (FAM_00052;FAM_00053;FAM_01328;FAM_01329) with 8 clustered records across 1 dataset genomes. Annotation hints include BGC0002606.2 | ochratoxin A; clustercompare 0.935234727055692: ochratoxin A; FBGC00126 82.4: ochratoxin A, but product identity is not assigned.
4	atlas_now	dataset_family_atlas	959	mix	FAM_00019;FAM_00020;FAM_01295;FAM_01296	FAM_00019;FAM_00020;FAM_01295;FAM_01296	7	5		0	5	present	mix	NRPS-like;NRPS-like.T1PKS;unknown	5		1	13	tier_1	Zymoseptoria_tritici_IPO323	UNLABELED	NC_018218.1.region001	BGC2	NRPS	FAM_00019;FAM_01055;FAM_01295;FAM_01928	mix@c0.3=FAM_00019;mix@c0.3=FAM_01295;nrps@c0.3=FAM_01055;nrps@c0.3=FAM_01928	mix	0.3	FAM_00019;FAM_01295	assigned	present	4	0	4	antiSMASH+FunBGCeX	knowncluster_high	BGC0002276.2 | choline; clustercompare 0.8033878129889281: choline; FBGC00338 64.3: choline	choline	choline	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Zymoseptoria_tritici_IPO323 NC_018218.1.region001 represents BiG-SCAPE CC 959 (FAM_00019;FAM_00020;FAM_01295;FAM_01296) with 7 clustered records across 5 dataset genomes. Annotation hints include BGC0002276.2 | choline; clustercompare 0.8033878129889281: choline; FBGC00338 64.3: choline, but product identity is not assigned.
5	atlas_now	dataset_family_atlas	5267	mix	FAM_00078;FAM_01354	FAM_00078;FAM_01354	7	2		0	2	present	mix	T1PKS	2		9	11	tier_1	Botrytis_cinerea_B05.10	UNLABELED	NC_037311.1.region006	BGC16	PKS	FAM_00078;FAM_00879;FAM_01354;FAM_02140	mix@c0.3=FAM_00078;mix@c0.3=FAM_01354;pks@c0.3=FAM_00879;pks@c0.3=FAM_02140	mix	0.3	FAM_00078;FAM_01354	assigned	present	2	0	2	antiSMASH+FunBGCeX	knowncluster_high	BGC0001258.3 | 1,3,6,8-tetrahydroxynaphthalene; clustercompare 0.817761045619759: 1,3,6,8-tetrahydroxynaphthalene; FBGC00615 22.6: YWA1 derivative	1,3,6,8-tetrahydroxynaphthalene	YWA1 derivative	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Botrytis_cinerea_B05.10 NC_037311.1.region006 represents BiG-SCAPE CC 5267 (FAM_00078;FAM_01354) with 7 clustered records across 2 dataset genomes. Annotation hints include BGC0001258.3 | 1,3,6,8-tetrahydroxynaphthalene; clustercompare 0.817761045619759: 1,3,6,8-tetrahydroxynaphthalene; FBGC00615 22.6: YWA1 derivative, but product identity is not assigned.
6	atlas_now	dataset_family_atlas	2147	mix	FAM_00044;FAM_01320	FAM_00044;FAM_01320	6	2		0	2	present	mix	T1PKS;T1PKS.T2PKS;T2PKS	2		81	9	tier_2	Streptomyces_avermitilis_MA-4680	UNLABELED	Streptomyces_avermitilis_MA-4680_NC_003155.5.region019		PKS	FAM_00044;FAM_00870;FAM_01320;FAM_02131	mix@c0.3=FAM_00044;mix@c0.3=FAM_01320;pks@c0.3=FAM_00870;pks@c0.3=FAM_02131	mix	0.3	FAM_00044;FAM_01320	assigned	present	2	0	2	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000117.5 | oligomycin; clustercompare 1.0: oligomycin	oligomycin		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_avermitilis_MA-4680 Streptomyces_avermitilis_MA-4680_NC_003155.5.region019 represents BiG-SCAPE CC 2147 (FAM_00044;FAM_01320) with 6 clustered records across 2 dataset genomes. Annotation hints include BGC0000117.5 | oligomycin; clustercompare 1.0: oligomycin, but product identity is not assigned.
7	atlas_now	dataset_family_atlas	608	mix	FAM_00012;FAM_00013;FAM_01288;FAM_01289	FAM_00012;FAM_00013;FAM_01288;FAM_01289	6	2		0	2	present	mix	NRP-metallophore.NRPS;NRP-metallophore.NRPS.NRPS-like.PKS-like.T1PKS.transAT-PKS;NRPS-like.lanthipeptide-class-iv.transAT-PKS;NRPS.PKS-like.T1PKS.transAT-PKS	2		179	8	tier_2	Streptomyces_coelicolor_A3_2	UNLABELED	Streptomyces_coelicolor_A3_2_NC_003888.3.region004		NRPS	FAM_00012;FAM_01053;FAM_01288;FAM_01926	mix@c0.3=FAM_00012;mix@c0.3=FAM_01288;nrps@c0.3=FAM_01053;nrps@c0.3=FAM_01926	mix	0.3	FAM_00012;FAM_01288	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000325.5 | coelichelin; clustercompare 0.9440140108482903: coelichelin	coelichelin		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_coelicolor_A3_2 Streptomyces_coelicolor_A3_2_NC_003888.3.region004 represents BiG-SCAPE CC 608 (FAM_00012;FAM_00013;FAM_01288;FAM_01289) with 6 clustered records across 2 dataset genomes. Annotation hints include BGC0000325.5 | coelichelin; clustercompare 0.9440140108482903: coelichelin, but product identity is not assigned.
8	atlas_now	dataset_family_atlas	4778	mix	FAM_00069;FAM_01345	FAM_00069;FAM_01345	6	1		0	1	present	mix	T1PKS;T1PKS.terpene	1		60	10	tier_2	Orbilia_oligospora_ATCC_24927	UNLABELED	NW_011645772.1.region001	BGC25	PKS	FAM_00069;FAM_00875;FAM_01345;FAM_02136	mix@c0.3=FAM_00069;mix@c0.3=FAM_01345;pks@c0.3=FAM_00875;pks@c0.3=FAM_02136	mix	0.3	FAM_00069;FAM_01345	assigned	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0002615.2 | 4-oxomacrophorin A/macrophorin A/5'-epimacrophorin B; clustercompare 0.79546063406169: 6-methylsalicyclic acid; FBGC00325 100.0: arthrosporol A	4-oxomacrophorin A/macrophorin A/5'-epimacrophorin B	arthrosporol A	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Orbilia_oligospora_ATCC_24927 NW_011645772.1.region001 represents BiG-SCAPE CC 4778 (FAM_00069;FAM_01345) with 6 clustered records across 1 dataset genomes. Annotation hints include BGC0002615.2 | 4-oxomacrophorin A/macrophorin A/5'-epimacrophorin B; clustercompare 0.79546063406169: 6-methylsalicyclic acid; FBGC00325 100.0: arthrosporol A, but product identity is not assigned.
9	atlas_now	dataset_family_atlas	1305	mix	FAM_00026;FAM_00027;FAM_01302;FAM_01303	FAM_00026;FAM_00027;FAM_01302;FAM_01303	6	1		0	1	present	mix	NRP-metallophore.NRPS.T1PKS.aminopolycarboxylic-acid.melanin;NRPS.T1PKS;aminopolycarboxylic-acid;unknown	1		127	9	tier_2	Streptomyces_avermitilis_MA-4680	UNLABELED	Streptomyces_avermitilis_MA-4680_NC_003155.5.region029		other	FAM_00026;FAM_00960;FAM_01302;FAM_02074	mix@c0.3=FAM_00026;mix@c0.3=FAM_01302;other@c0.3=FAM_00960;other@c0.3=FAM_02074	mix	0.3	FAM_00026;FAM_01302	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0002568.2 | Ethylenediaminesuccinic acid hydroxyarginine; clustercompare 1.0: ethylenediaminesuccinic acid hydroxyarginine (EDHA)	Ethylenediaminesuccinic acid hydroxyarginine		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7	Streptomyces_avermitilis_MA-4680 Streptomyces_avermitilis_MA-4680_NC_003155.5.region029 represents BiG-SCAPE CC 1305 (FAM_00026;FAM_00027;FAM_01302;FAM_01303) with 6 clustered records across 1 dataset genomes. Annotation hints include BGC0002568.2 | Ethylenediaminesuccinic acid hydroxyarginine; clustercompare 1.0: ethylenediaminesuccinic acid hydroxyarginine (EDHA), but product identity is not assigned.
10	atlas_now	dataset_family_atlas	1069	mix	FAM_00022;FAM_01298	FAM_00022;FAM_01298	5	3		0	3	present	mix	T1PKS	3		4	12	tier_1	Aspergillus_niger	UNLABELED	NT_166525.1.region007	BGC10	PKS	FAM_00022;FAM_00865;FAM_01298;FAM_02126	mix@c0.3=FAM_00022;mix@c0.3=FAM_01298;pks@c0.3=FAM_00865;pks@c0.3=FAM_02126	mix	0.3	FAM_00022;FAM_01298	assigned	present	3	0	3	antiSMASH+FunBGCeX	knowncluster_high	BGC0002175.3 | YWA1; clustercompare 0.8398763509174734: YWA1; FBGC00615 37.6: YWA1 derivative	YWA1	YWA1 derivative	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Aspergillus_niger NT_166525.1.region007 represents BiG-SCAPE CC 1069 (FAM_00022;FAM_01298) with 5 clustered records across 3 dataset genomes. Annotation hints include BGC0002175.3 | YWA1; clustercompare 0.8398763509174734: YWA1; FBGC00615 37.6: YWA1 derivative, but product identity is not assigned.
